"Los Angeles, Las Vegas, Gray, 2"
"Los Angeles, Phoenix, Blue, 3"
"Los Angeles, ElPaso, Black, 6"
"San Francisco, Portland, Pink, 5"
"San Francisco, Portland, Green, 5"
"San Francisco, Salt Lake City, Orange, 5"
"San Francisco, Salt Lake City, White, 5"
"San Francisco, Los Angeles, Pink, 3"
"San Francisco, Los Angeles, Yellow, 3"
"Portland, Seattle, Gray, 1"
"Portland, Seattle, Gray, 1"
"Portland, Salt Lake City, Blue, 6"
"Seattle, Helena, Yellow, 6"
"Seattle, Calgary, Gray, 4"
"Seattle, Vancouver, Gray, 1"
"Seattle, Vancouver, Gray, 1"
"Vancouver, Calgary, Gray, 3"
"Calgary, Winnipeg, White, 6"
"Calgary, Helena, Gray, 4"
"Helena, Salt Lake City, Yello, 3"
"Salt Lake City, Denver, Red, 3"
"Salt Lake City, Denver, Yellow, 3"
"Salt Lake City, Las Vegas, Orange, 3"
"Phoenix, Denver, White, 5"
"Phoenix, Santa Fe, Gray, 3"
"Phoenix, El Paso, Gray, 3"
"El Paso, Santa Fe, Gray, 2"
"El Paso, Oklahoma City, Yellow, 5"
"El Paso, Dallas, Red, 4"
"El Paso, Houston, Green, 6"
"Santa Fe, Oklahoma City, Blue, 3"
"Santa Fe, Denver, Gray, 2"
"Denver, Oklahoma City, Red, 4"
"Denver, Kansas City, Orange, 4"
"Denver, Kansas City, Green, 4"
"Denver, Helena, Green, 4"
"Helena, Omaha, Red, 5"
"Helena, Duluth, Orange, 6"
"Helena, Winnipeg, Blue, 4"
"Winnipeg, Sault St. Marie, Gray, 6"
"Winnipeg, Duluth, Black, 4"
"Duluth, Saul St. Marie, Gray, 3"
"Duluth, Toronto, Pink, 6"
"Duluth, Chicago, Red, 3"
"Duluth, Omaha, Gray, 2"
"Duluth, Omaha, Gray, 2"
"Omaha, Chicago, Blue, 4"
"Omaha, Kansas City, Gray, 1"
"Omaha, Kansas City, Gray, 1"
"Kansas City, Saint Louis, Blue, 2"
"Kansas City, Saint Louis, Pink, 2"
"Kansas City, Oklahoma City, Green, 2"
"Kansas City, Oklahoma City, Gray, 2"
"Oklahoma City, Little Rock, Purple, 2"
"Oklahoma City, Dallas, Gray, 2"
"Oklahoma City, Dallas, Gray, 2"
"Dallas, Houston, Gray, 1"
"Dallas, Houston, Gray, 1"
"Houston, New Orleans, Gray, 2"
"New Orleans, Miami, Red, 6"
"New Orleans, Atlanta, Orange, 4"
"New Orleans, Atlanta, Yellow, 4"
"Atlanta, Miami, Blue, 5"
"Atlanta, Charleston, Gray, 2"
"Atlanta, Raleigh, Gray, 2"
"Atlanta, Raleigh, Gray, 2"
"Atlanta, Nashville, Gray, 1"
"Little Rock, New Orleans, Green, 3"
"Little Rock, Nashville, Purple, 3"
"Little Rock, Saint Louis,Gray, 2"
"Saint Louis, Nashville, Gray, 2"
"Saint Louis, Pittsburgh, Green, 5"
"Saint Louis, Chicago, White, 2"
"Saint Louis, Chicago, Green, 2"
"Chicago, Pittsburgh, Black, 3"
"Chicago, Pittsburgh, Orange, 3"
"Chicago, Toronto, White, 4"
"Toronto, Sault St. Marie, Gray, 2"
"Toronto, Montreal, Gray, 3"
"Sault St. Marie, Montreal, Black, 5"
"Montreal, Boston, Gray, 2"
"Montreal, Boston, Gray, 2"
"Montreal, New York, Blue, 3"
"Pittsburgh, New York, White, 2"
"Pittsburgh, New York, Yellow, 2"
"Pittsburgh, Washington, Gray, 2"
"Pittsburgh, Raleigh, Gray, 2"
"Pittsburgh, Nashville, Yellow, 4"
"Nashville, Raleigh, Black, 3"
"Miami, Charleston, Pink, 4"
"Charleston, Raleigh, Gray, 2"
"Raleigh, Washington, Gray, 2"
"Raleigh, Washington, Gray, 2"
"Washington, New York, Orange, 2"
"Washington, New York, Black, 2"
"New York, Boston, Red, 2"
"New York, Boston, Yellow, 2"
